Airline,Year,Efficiency_stage1,Efficiency_stage2,Additive_Efficiency
Jetblue Airways,2024,0.42292929606507657,0.5518910467952185,0.5296179855882556
Lufthansa,2018,0.5558301663494876,0.6445479650557359,0.6218116087760961
Lufthansa,2019,0.5552181396727419,0.658398254870383,0.6315899651590562
Lufthansa,2020,0.1950317897082704,0.32005559666422717,0.3012812947729024
Lufthansa,2021,0.2960239418514692,0.32001631445106055,0.31553429439595976
Lufthansa,2022,0.14220167128770267,0.9999999999999984,0.9260992754156608
Lufthansa,2023,0.44926405714021683,0.6399241031095396,0.5964929800715476
Lufthansa,2024,0.48771085947980636,0.5868774688197244,0.5628458177521316
Qantas,2018,0.46771871241767954,0.6887475346713556,0.64263589704444
Qantas,2019,0.537815848333449,0.48766161655917195,0.49863512399290577
Qantas,2020,0.3999769511536567,0.4608313850870798,0.44986736165182534
Qantas,2021,0.13034078141204095,0.9999999999994144,0.9353752856724463
Qantas,2022,0.2044593730725191,0.5834111582674796,0.5413481734422285
Qantas,2023,0.3216153566560666,1,0.8910193921210113
Qantas,2024,0.3628127217118707,0.9999999999999992,0.88327780997765315
Ryanair,2018,0.9135199078875227,0.6030635170207428,0.7090374447409251
Ryanair,2019,0.9316949931230815,0.6339312147255698,0.737968588493112
Ryanair,2020,0.9999999999999982,0.1556181794071799,0.5221597129153275
Ryanair,2021,0.7249971247757176,0.3250938408826962,0.45863880647887656
Ryanair,2022,1.0000000000000069,0.5856288335153509,0.7471598512710043
Ryanair,2023,1.0000000000000164,0.615312397391276,0.7671536207354273
Ryanair,2024,0.9977673325073871,0.6297609765654746,0.7753800763113314
Southwest Airlines,2018,0.6204303498394836,0.578890710586382,0.5911597922394821
Southwest Airlines,2019,0.6078515447640656,0.5984787867714054,0.6012024849639646
Southwest Airlines,2020,0.41710223613067937,0.32829685734999087,0.35709875948242076
Southwest Airlines,2021,0.5280645543401943,0.48108005577403545,0.4943845600899149
Southwest Airlines,2022,0.5622114843134953,0.6641647638873998,0.6360832616866019
Southwest Airlines,2023,0.6330897293641237,0.6541809040026525,0.6477815628962162
Southwest Airlines,2024,0.6537554401735907,0.6677103782171677,0.6634206068230455
Spirit Airlines,2018,0.7551939115909753,0.6353435944499632,0.6487948625098439
Spirit Airlines,2019,0.7279244141619221,0.6154174105276037,0.6294621646061302
Spirit Airlines,2020,0.49380090978212005,0.33784861016073847,0.354297965816641
Spirit Airlines,2021,0.5944138326682961,0.4491582375065637,0.4680998683156774
Spirit Airlines,2022,0.5314904738846095,0.5589989268884545,0.5550651517276384
Spirit Airlines,2023,0.5738355871990464,0.49909561091648824,0.511110495874427
Spirit Airlines,2024,0.5237395473516225,0.49519993437644455,0.4995867739805832
Turkish Airlines,2018,0.6486069643774443,0.45443182131581805,0.5039555178682099
Turkish Airlines,2019,0.6255466803847547,0.4431659536406314,0.4906590366110827
Turkish Airlines,2020,0.28343190598233425,0.3965304595233919,0.37956601859028694
Turkish Airlines,2021,0.4436814860845899,0.46202934425129205,0.4579034938427436
Turkish Airlines,2022,0.5763193173120337,0.5986921954747393,0.5928445989374299
Turkish Airlines,2023,0.6194883474222803,0.5918054801509562,0.599582956288218
Turkish Airlines,2024,0.6365843417682715,0.6029861012373645,0.6128326721188507
United Airlines,2018,0.9687810967721877,0.7096854667314976,0.8041782688211268
United Airlines,2019,0.9984819914950758,0.7439231690745758,0.8374544345157957
United Airlines,2020,0.46813314686382645,0.49331514307665847,0.48549521794388445
United Airlines,2021,0.6650104990524376,0.59467426468702,0.6180748801419542
United Airlines,2022,0.8418583298597624,0.8298477343958457,0.8338428472405494
United Airlines,2023,0.9525312589091548,0.8714209237058098,0.8997384673954143
United Airlines,2024,0.999999999998153,0.9257012150609374,0.9523189512955372
Wizz Air,2018,0.9999999999996043,0.9725405809983925,0.975465435383422
Wizz Air,2019,0.9895657599591837,1.0000000000005376,0.9987484855328903
Wizz Air,2020,0.9999999999989456,1.0000000000005809,1.000000000000467
Wizz Air,2021,0.627083015959317,0.4702891623646631,0.48853041796369
Wizz Air,2022,0.7669532834865226,0.7132938999108093,0.7221927038413367
Wizz Air,2023,0.8067423026841821,0.8695008200776038,0.8575108724554424
Wizz Air,2024,0.7247117062502212,0.7666054456146553,0.758665955212218
